celebrity_name             , ballroom_partner                        , celebrity_industry      , celebrity_homestate, celebrity_homecountry/region, celebrity_age_during_season, season, results           , placement, week, judge_total       , active, n_active, elim_week_official, elim_after_week
Melissa Gilbert            , Maksim Chmerkoskiy                      , Actor/Actress           , California         , United States               ,                          47,     14, Eliminated Week 8 ,         5,    9,  0.0              , False ,        4,                8.0, False
Roshon Fegan               , Chelsie Hightower                       , Actor/Actress           , California         , United States               ,                          20,     14, Eliminated Week 8 ,         6,    9,  0.0              , False ,        4,                8.0, False
Sherri Sheperd             , Valentin Chmerkovskiy                   , Actor/Actress           , Illinois           , United States               ,                          44,     14, Eliminated Week 4 ,        10,    9,  0.0              , False ,        4,                4.0, False
William Levy               , Cheryl Burke                            , Actor/Actress           ,                    , Cuba                        ,                          31,     14, 3rd Place         ,         3,    9, 29.0              , True  ,        4,                   , False
Donald Driver              , Peta Murgatroyd                         , Athlete                 , Texas              , United States               ,                          37,     14, 1st Place         ,         1,   10, 29.666600000000003, True  ,        3,                   , False
Gavin DeGraw               , Karina Smirnoff                         , Singer/Rapper           , New York           , United States               ,                          35,     14, Eliminated Week 5 ,         9,   10,  0.0              , False ,        3,                5.0, False
Gladys Knight              , Tristan MacManus                        , Singer/Rapper           , Georgia            , United States               ,                          67,     14, Eliminated Week 6 ,         8,   10,  0.0              , False ,        3,                6.0, False
Jack Wagner                , Anna Trebunskaya                        , Actor/Actress           , Missouri           , United States               ,                          52,     14, Eliminated Week 3 ,        11,   10,  0.0              , False ,        3,                3.0, False
Jaleel White               , Kym Johnson                             , Actor/Actress           , California         , United States               ,                          35,     14, Eliminated Week 7 ,         7,   10,  0.0              , False ,        3,                7.0, False
Katherine Jenkins          , Mark Ballas                             , Singer/Rapper           ,                    , Wales                       ,                          31,     14, 2nd Place         ,         2,   10, 30.0              , True  ,        3,                   , False
Maria Menounos             , Derek Hough                             , TV Personality          , Massachusetts      , United States               ,                          33,     14, Eliminated Week 9 ,         4,   10,  0.0              , False ,        3,                9.0, False
Martina Navratilova        , Tony Dovolani                           , Athlete                 ,                    , Czechoslovakia              ,                          55,     14, Eliminated Week 2 ,        12,   10,  0.0              , False ,        3,                2.0, False
Melissa Gilbert            , Maksim Chmerkoskiy                      , Actor/Actress           , California         , United States               ,                          47,     14, Eliminated Week 8 ,         5,   10,  0.0              , False ,        3,                8.0, False
Roshon Fegan               , Chelsie Hightower                       , Actor/Actress           , California         , United States               ,                          20,     14, Eliminated Week 8 ,         6,   10,  0.0              , False ,        3,                8.0, False
Sherri Sheperd             , Valentin Chmerkovskiy                   , Actor/Actress           , Illinois           , United States               ,                          44,     14, Eliminated Week 4 ,        10,   10,  0.0              , False ,        3,                4.0, False
William Levy               , Cheryl Burke                            , Actor/Actress           ,                    , Cuba                        ,                          31,     14, 3rd Place         ,         3,   10, 29.666600000000003, True  ,        3,                   , False
Apolo Anton Ohno           , Karina Smirnoff                         , Athlete                 , Washington         , United States               ,                          30,     15, Eliminated Week 9 ,         5,    1, 22.0              , True  ,       13,                9.0, False
Bristol Palin              , Mark Ballas                             , TV Personality          , Alaska             , United States               ,                          21,     15, Eliminated Week 4 ,         9,    1, 19.5              , True  ,       13,                4.0, False
Drew Lachey                , Anna Trebunskaya                        , Singer/Rapper           , Ohio               , United States               ,                          36,     15, Eliminated Week 3 ,        11,    1, 21.5              , True  ,       13,                3.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          43,     15, Eliminated Week 9 ,         4,    1, 24.5              , True  ,       13,                9.0, False
Gilles Marini              , Peta Murgatroyd                         , Actor/Actress           ,                    , France                      ,                          36,     15, Eliminated Week 8 ,         6,    1, 24.0              , True  ,       13,                8.0, False
Helio Castroneves          , Chelsie Hightower                       , Racing Driver           ,                    , Brazil                      ,                          37,     15, Eliminated Week 3 ,        10,    1, 21.5              , True  ,       13,                3.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          35,     15, Eliminated Week 2 ,        12,    1, 20.5              , True  ,       13,                2.0, False
Kelly Monaco               , Valentin Chmerkovskiy                   , Actor/Actress           , Pennsylvania       , United States               ,                          36,     15, 3rd Place         ,         3,    1, 21.5              , True  ,       13,                   , False
Kirstie Alley              , Maksim Chmerkoskiy                      , Actor/Actress           , Kansas             , United States               ,                          61,     15, Eliminated Week 8 ,         7,    1, 19.0              , True  ,       13,                8.0, False
Melissa Rycroft            , Tony Dovolani                           , TV Personality          , Texas              , United States               ,                          29,     15, 1st Place         ,         1,    1, 21.0              , True  ,       13,                   , False
Pamela Anderson            , Tristan MacManus                        , Model                   ,                    , Canada                      ,                          45,     15, Eliminated Week 1 ,        13,    1, 17.0              , True  ,       13,                1.0, True
Sabrina Bryan              , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          28,     15, Eliminated Week 6 ,         8,    1, 22.5              , True  ,       13,                6.0, False
Shawn Johnson              , Derek Hough                             , Athlete                 , Iowa               , United States               ,                          20,     15, 2nd Place         ,         2,    1, 22.0              , True  ,       13,                   , False
Apolo Anton Ohno           , Karina Smirnoff                         , Athlete                 , Washington         , United States               ,                          30,     15, Eliminated Week 9 ,         5,    2, 24.5              , True  ,       12,                9.0, False
Bristol Palin              , Mark Ballas                             , TV Personality          , Alaska             , United States               ,                          21,     15, Eliminated Week 4 ,         9,    2, 18.0              , True  ,       12,                4.0, False
Drew Lachey                , Anna Trebunskaya                        , Singer/Rapper           , Ohio               , United States               ,                          36,     15, Eliminated Week 3 ,        11,    2, 22.5              , True  ,       12,                3.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          43,     15, Eliminated Week 9 ,         4,    2, 22.5              , True  ,       12,                9.0, False
Gilles Marini              , Peta Murgatroyd                         , Actor/Actress           ,                    , France                      ,                          36,     15, Eliminated Week 8 ,         6,    2, 25.5              , True  ,       12,                8.0, False
Helio Castroneves          , Chelsie Hightower                       , Racing Driver           ,                    , Brazil                      ,                          37,     15, Eliminated Week 3 ,        10,    2, 23.0              , True  ,       12,                3.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          35,     15, Eliminated Week 2 ,        12,    2, 22.5              , True  ,       12,                2.0, True
Kelly Monaco               , Valentin Chmerkovskiy                   , Actor/Actress           , Pennsylvania       , United States               ,                          36,     15, 3rd Place         ,         3,    2, 22.0              , True  ,       12,                   , False
Kirstie Alley              , Maksim Chmerkoskiy                      , Actor/Actress           , Kansas             , United States               ,                          61,     15, Eliminated Week 8 ,         7,    2, 21.0              , True  ,       12,                8.0, False
Melissa Rycroft            , Tony Dovolani                           , TV Personality          , Texas              , United States               ,                          29,     15, 1st Place         ,         1,    2, 23.5              , True  ,       12,                   , False
Pamela Anderson            , Tristan MacManus                        , Model                   ,                    , Canada                      ,                          45,     15, Eliminated Week 1 ,        13,    2,  0.0              , False ,       12,                1.0, False
Sabrina Bryan              , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          28,     15, Eliminated Week 6 ,         8,    2, 26.0              , True  ,       12,                6.0, False
Shawn Johnson              , Derek Hough                             , Athlete                 , Iowa               , United States               ,                          20,     15, 2nd Place         ,         2,    2, 25.0              , True  ,       12,                   , False
Apolo Anton Ohno           , Karina Smirnoff                         , Athlete                 , Washington         , United States               ,                          30,     15, Eliminated Week 9 ,         5,    3, 25.5              , True  ,       11,                9.0, False
Bristol Palin              , Mark Ballas                             , TV Personality          , Alaska             , United States               ,                          21,     15, Eliminated Week 4 ,         9,    3, 22.5              , True  ,       11,                4.0, False
Drew Lachey                , Anna Trebunskaya                        , Singer/Rapper           , Ohio               , United States               ,                          36,     15, Eliminated Week 3 ,        11,    3, 24.0              , True  ,       11,                3.0, True
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          43,     15, Eliminated Week 9 ,         4,    3, 25.0              , True  ,       11,                9.0, False
Gilles Marini              , Peta Murgatroyd                         , Actor/Actress           ,                    , France                      ,                          36,     15, Eliminated Week 8 ,         6,    3, 25.5              , True  ,       11,                8.0, False
Helio Castroneves          , Chelsie Hightower                       , Racing Driver           ,                    , Brazil                      ,                          37,     15, Eliminated Week 3 ,        10,    3, 25.5              , True  ,       11,                3.0, True
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          35,     15, Eliminated Week 2 ,        12,    3,  0.0              , False ,       11,                2.0, False
Kelly Monaco               , Valentin Chmerkovskiy                   , Actor/Actress           , Pennsylvania       , United States               ,                          36,     15, 3rd Place         ,         3,    3, 27.0              , True  ,       11,                   , False
Kirstie Alley              , Maksim Chmerkoskiy                      , Actor/Actress           , Kansas             , United States               ,                          61,     15, Eliminated Week 8 ,         7,    3, 24.0              , True  ,       11,                8.0, False
Melissa Rycroft            , Tony Dovolani                           , TV Personality          , Texas              , United States               ,                          29,     15, 1st Place         ,         1,    3, 27.0              , True  ,       11,                   , False
Pamela Anderson            , Tristan MacManus                        , Model                   ,                    , Canada                      ,                          45,     15, Eliminated Week 1 ,        13,    3,  0.0              , False ,       11,                1.0, False
Sabrina Bryan              , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          28,     15, Eliminated Week 6 ,         8,    3, 25.5              , True  ,       11,                6.0, False
Shawn Johnson              , Derek Hough                             , Athlete                 , Iowa               , United States               ,                          20,     15, 2nd Place         ,         2,    3, 26.5              , True  ,       11,                   , False
Apolo Anton Ohno           , Karina Smirnoff                         , Athlete                 , Washington         , United States               ,                          30,     15, Eliminated Week 9 ,         5,    4, 34.5              , True  ,        9,                9.0, False
Bristol Palin              , Mark Ballas                             , TV Personality          , Alaska             , United States               ,                          21,     15, Eliminated Week 4 ,         9,    4, 32.0              , True  ,        9,                4.0, True
Drew Lachey                , Anna Trebunskaya                        , Singer/Rapper           , Ohio               , United States               ,                          36,     15, Eliminated Week 3 ,        11,    4,  0.0              , False ,        9,                3.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          43,     15, Eliminated Week 9 ,         4,    4, 36.0              , True  ,        9,                9.0, False
Gilles Marini              , Peta Murgatroyd                         , Actor/Actress           ,                    , France                      ,                          36,     15, Eliminated Week 8 ,         6,    4, 39.5              , True  ,        9,                8.0, False
Helio Castroneves          , Chelsie Hightower                       , Racing Driver           ,                    , Brazil                      ,                          37,     15, Eliminated Week 3 ,        10,    4,  0.0              , False ,        9,                3.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          35,     15, Eliminated Week 2 ,        12,    4,  0.0              , False ,        9,                2.0, False
Kelly Monaco               , Valentin Chmerkovskiy                   , Actor/Actress           , Pennsylvania       , United States               ,                          36,     15, 3rd Place         ,         3,    4, 37.5              , True  ,        9,                   , False
Kirstie Alley              , Maksim Chmerkoskiy                      , Actor/Actress           , Kansas             , United States               ,                          61,     15, Eliminated Week 8 ,         7,    4, 30.0              , True  ,        9,                8.0, False
Melissa Rycroft            , Tony Dovolani                           , TV Personality          , Texas              , United States               ,                          29,     15, 1st Place         ,         1,    4, 37.0              , True  ,        9,                   , False
Pamela Anderson            , Tristan MacManus                        , Model                   ,                    , Canada                      ,                          45,     15, Eliminated Week 1 ,        13,    4,  0.0              , False ,        9,                1.0, False
Sabrina Bryan              , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          28,     15, Eliminated Week 6 ,         8,    4, 35.5              , True  ,        9,                6.0, False
Shawn Johnson              , Derek Hough                             , Athlete                 , Iowa               , United States               ,                          20,     15, 2nd Place         ,         2,    4, 39.5              , True  ,        9,                   , False
Apolo Anton Ohno           , Karina Smirnoff                         , Athlete                 , Washington         , United States               ,                          30,     15, Eliminated Week 9 ,         5,    5, 28.25             , True  ,        8,                9.0, False
Bristol Palin              , Mark Ballas                             , TV Personality          , Alaska             , United States               ,                          21,     15, Eliminated Week 4 ,         9,    5,  0.0              , False ,        8,                4.0, False
Drew Lachey                , Anna Trebunskaya                        , Singer/Rapper           , Ohio               , United States               ,                          36,     15, Eliminated Week 3 ,        11,    5,  0.0              , False ,        8,                3.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          43,     15, Eliminated Week 9 ,         4,    5, 28.0              , True  ,        8,                9.0, False
Gilles Marini              , Peta Murgatroyd                         , Actor/Actress           ,                    , France                      ,                          36,     15, Eliminated Week 8 ,         6,    5, 28.25             , True  ,        8,                8.0, False
Helio Castroneves          , Chelsie Hightower                       , Racing Driver           ,                    , Brazil                      ,                          37,     15, Eliminated Week 3 ,        10,    5,  0.0              , False ,        8,                3.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          35,     15, Eliminated Week 2 ,        12,    5,  0.0              , False ,        8,                2.0, False
Kelly Monaco               , Valentin Chmerkovskiy                   , Actor/Actress           , Pennsylvania       , United States               ,                          36,     15, 3rd Place         ,         3,    5, 25.75             , True  ,        8,                   , False
Kirstie Alley              , Maksim Chmerkoskiy                      , Actor/Actress           , Kansas             , United States               ,                          61,     15, Eliminated Week 8 ,         7,    5, 26.25             , True  ,        8,                8.0, False
Melissa Rycroft            , Tony Dovolani                           , TV Personality          , Texas              , United States               ,                          29,     15, 1st Place         ,         1,    5, 28.25             , True  ,        8,                   , False
Pamela Anderson            , Tristan MacManus                        , Model                   ,                    , Canada                      ,                          45,     15, Eliminated Week 1 ,        13,    5,  0.0              , False ,        8,                1.0, False
Sabrina Bryan              , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          28,     15, Eliminated Week 6 ,         8,    5, 29.25             , True  ,        8,                6.0, False
Shawn Johnson              , Derek Hough                             , Athlete                 , Iowa               , United States               ,                          20,     15, 2nd Place         ,         2,    5, 28.25             , True  ,        8,                   , False
Apolo Anton Ohno           , Karina Smirnoff                         , Athlete                 , Washington         , United States               ,                          30,     15, Eliminated Week 9 ,         5,    6, 30.0              , True  ,        8,                9.0, False
Bristol Palin              , Mark Ballas                             , TV Personality          , Alaska             , United States               ,                          21,     15, Eliminated Week 4 ,         9,    6,  0.0              , False ,        8,                4.0, False
Drew Lachey                , Anna Trebunskaya                        , Singer/Rapper           , Ohio               , United States               ,                          36,     15, Eliminated Week 3 ,        11,    6,  0.0              , False ,        8,                3.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          43,     15, Eliminated Week 9 ,         4,    6, 26.5              , True  ,        8,                9.0, False
Gilles Marini              , Peta Murgatroyd                         , Actor/Actress           ,                    , France                      ,                          36,     15, Eliminated Week 8 ,         6,    6, 27.5              , True  ,        8,                8.0, False
Helio Castroneves          , Chelsie Hightower                       , Racing Driver           ,                    , Brazil                      ,                          37,     15, Eliminated Week 3 ,        10,    6,  0.0              , False ,        8,                3.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          35,     15, Eliminated Week 2 ,        12,    6,  0.0              , False ,        8,                2.0, False
Kelly Monaco               , Valentin Chmerkovskiy                   , Actor/Actress           , Pennsylvania       , United States               ,                          36,     15, 3rd Place         ,         3,    6, 27.0              , True  ,        8,                   , False
Kirstie Alley              , Maksim Chmerkoskiy                      , Actor/Actress           , Kansas             , United States               ,                          61,     15, Eliminated Week 8 ,         7,    6, 27.5              , True  ,        8,                8.0, False
Melissa Rycroft            , Tony Dovolani                           , TV Personality          , Texas              , United States               ,                          29,     15, 1st Place         ,         1,    6, 29.5              , True  ,        8,                   , False
Pamela Anderson            , Tristan MacManus                        , Model                   ,                    , Canada                      ,                          45,     15, Eliminated Week 1 ,        13,    6,  0.0              , False ,        8,                1.0, False
Sabrina Bryan              , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          28,     15, Eliminated Week 6 ,         8,    6, 30.0              , True  ,        8,                6.0, True
Shawn Johnson              , Derek Hough                             , Athlete                 , Iowa               , United States               ,                          20,     15, 2nd Place         ,         2,    6, 28.0              , True  ,        8,                   , False
Apolo Anton Ohno           , Karina Smirnoff                         , Athlete                 , Washington         , United States               ,                          30,     15, Eliminated Week 9 ,         5,    7, 33.0              , True  ,        7,                9.0, False
Bristol Palin              , Mark Ballas                             , TV Personality          , Alaska             , United States               ,                          21,     15, Eliminated Week 4 ,         9,    7,  0.0              , False ,        7,                4.0, False
Drew Lachey                , Anna Trebunskaya                        , Singer/Rapper           , Ohio               , United States               ,                          36,     15, Eliminated Week 3 ,        11,    7,  0.0              , False ,        7,                3.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          43,     15, Eliminated Week 9 ,         4,    7, 34.4999           , True  ,        7,                9.0, False
Gilles Marini              , Peta Murgatroyd                         , Actor/Actress           ,                    , France                      ,                          36,     15, Eliminated Week 8 ,         6,    7, 33.4998           , True  ,        7,                8.0, False
Helio Castroneves          , Chelsie Hightower                       , Racing Driver           ,                    , Brazil                      ,                          37,     15, Eliminated Week 3 ,        10,    7,  0.0              , False ,        7,                3.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          35,     15, Eliminated Week 2 ,        12,    7,  0.0              , False ,        7,                2.0, False
Kelly Monaco               , Valentin Chmerkovskiy                   , Actor/Actress           , Pennsylvania       , United States               ,                          36,     15, 3rd Place         ,         3,    7, 36.0              , True  ,        7,                   , False
Kirstie Alley              , Maksim Chmerkoskiy                      , Actor/Actress           , Kansas             , United States               ,                          61,     15, Eliminated Week 8 ,         7,    7, 27.999899999999997, True  ,        7,                8.0, False
Melissa Rycroft            , Tony Dovolani                           , TV Personality          , Texas              , United States               ,                          29,     15, 1st Place         ,         1,    7, 38.9999           , True  ,        7,                   , False
Pamela Anderson            , Tristan MacManus                        , Model                   ,                    , Canada                      ,                          45,     15, Eliminated Week 1 ,        13,    7,  0.0              , False ,        7,                1.0, False
Sabrina Bryan              , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          28,     15, Eliminated Week 6 ,         8,    7,  0.0              , False ,        7,                6.0, False
Shawn Johnson              , Derek Hough                             , Athlete                 , Iowa               , United States               ,                          20,     15, 2nd Place         ,         2,    7, 37.9998           , True  ,        7,                   , False
Apolo Anton Ohno           , Karina Smirnoff                         , Athlete                 , Washington         , United States               ,                          30,     15, Eliminated Week 9 ,         5,    8, 29.2777           , True  ,        7,                9.0, False
Bristol Palin              , Mark Ballas                             , TV Personality          , Alaska             , United States               ,                          21,     15, Eliminated Week 4 ,         9,    8,  0.0              , False ,        7,                4.0, False
Drew Lachey                , Anna Trebunskaya                        , Singer/Rapper           , Ohio               , United States               ,                          36,     15, Eliminated Week 3 ,        11,    8,  0.0              , False ,        7,                3.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          43,     15, Eliminated Week 9 ,         4,    8, 29.0554           , True  ,        7,                9.0, False
Gilles Marini              , Peta Murgatroyd                         , Actor/Actress           ,                    , France                      ,                          36,     15, Eliminated Week 8 ,         6,    8, 29.2777           , True  ,        7,                8.0, True
Helio Castroneves          , Chelsie Hightower                       , Racing Driver           ,                    , Brazil                      ,                          37,     15, Eliminated Week 3 ,        10,    8,  0.0              , False ,        7,                3.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          35,     15, Eliminated Week 2 ,        12,    8,  0.0              , False ,        7,                2.0, False
Kelly Monaco               , Valentin Chmerkovskiy                   , Actor/Actress           , Pennsylvania       , United States               ,                          36,     15, 3rd Place         ,         3,    8, 28.3333           , True  ,        7,                   , False
Kirstie Alley              , Maksim Chmerkoskiy                      , Actor/Actress           , Kansas             , United States               ,                          61,     15, Eliminated Week 8 ,         7,    8, 25.5              , True  ,        7,                8.0, True
Melissa Rycroft            , Tony Dovolani                           , TV Personality          , Texas              , United States               ,                          29,     15, 1st Place         ,         1,    8, 30.0              , True  ,        7,                   , False
Pamela Anderson            , Tristan MacManus                        , Model                   ,                    , Canada                      ,                          45,     15, Eliminated Week 1 ,        13,    8,  0.0              , False ,        7,                1.0, False
Sabrina Bryan              , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          28,     15, Eliminated Week 6 ,         8,    8,  0.0              , False ,        7,                6.0, False
Shawn Johnson              , Derek Hough                             , Athlete                 , Iowa               , United States               ,                          20,     15, 2nd Place         ,         2,    8, 27.8333           , True  ,        7,                   , False
Apolo Anton Ohno           , Karina Smirnoff                         , Athlete                 , Washington         , United States               ,                          30,     15, Eliminated Week 9 ,         5,    9, 28.611            , True  ,        5,                9.0, True
Bristol Palin              , Mark Ballas                             , TV Personality          , Alaska             , United States               ,                          21,     15, Eliminated Week 4 ,         9,    9,  0.0              , False ,        5,                4.0, False
Drew Lachey                , Anna Trebunskaya                        , Singer/Rapper           , Ohio               , United States               ,                          36,     15, Eliminated Week 3 ,        11,    9,  0.0              , False ,        5,                3.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          43,     15, Eliminated Week 9 ,         4,    9, 27.0              , True  ,        5,                9.0, True
Gilles Marini              , Peta Murgatroyd                         , Actor/Actress           ,                    , France                      ,                          36,     15, Eliminated Week 8 ,         6,    9,  0.0              , False ,        5,                8.0, False
Helio Castroneves          , Chelsie Hightower                       , Racing Driver           ,                    , Brazil                      ,                          37,     15, Eliminated Week 3 ,        10,    9,  0.0              , False ,        5,                3.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          35,     15, Eliminated Week 2 ,        12,    9,  0.0              , False ,        5,                2.0, False
Kelly Monaco               , Valentin Chmerkovskiy                   , Actor/Actress           , Pennsylvania       , United States               ,                          36,     15, 3rd Place         ,         3,    9, 27.110999999999997, True  ,        5,                   , False
Kirstie Alley              , Maksim Chmerkoskiy                      , Actor/Actress           , Kansas             , United States               ,                          61,     15, Eliminated Week 8 ,         7,    9,  0.0              , False ,        5,                8.0, False
Melissa Rycroft            , Tony Dovolani                           , TV Personality          , Texas              , United States               ,                          29,     15, 1st Place         ,         1,    9, 28.7777           , True  ,        5,                   , False
Pamela Anderson            , Tristan MacManus                        , Model                   ,                    , Canada                      ,                          45,     15, Eliminated Week 1 ,        13,    9,  0.0              , False ,        5,                1.0, False
Sabrina Bryan              , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          28,     15, Eliminated Week 6 ,         8,    9,  0.0              , False ,        5,                6.0, False
Shawn Johnson              , Derek Hough                             , Athlete                 , Iowa               , United States               ,                          20,     15, 2nd Place         ,         2,    9, 29.5              , True  ,        5,                   , False
Apolo Anton Ohno           , Karina Smirnoff                         , Athlete                 , Washington         , United States               ,                          30,     15, Eliminated Week 9 ,         5,   10,  0.0              , False ,        3,                9.0, False
Bristol Palin              , Mark Ballas                             , TV Personality          , Alaska             , United States               ,                          21,     15, Eliminated Week 4 ,         9,   10,  0.0              , False ,        3,                4.0, False
Drew Lachey                , Anna Trebunskaya                        , Singer/Rapper           , Ohio               , United States               ,                          36,     15, Eliminated Week 3 ,        11,   10,  0.0              , False ,        3,                3.0, False
Emmitt Smith               , Cheryl Burke                            , Athlete                 , Florida            , United States               ,                          43,     15, Eliminated Week 9 ,         4,   10,  0.0              , False ,        3,                9.0, False
Gilles Marini              , Peta Murgatroyd                         , Actor/Actress           ,                    , France                      ,                          36,     15, Eliminated Week 8 ,         6,   10,  0.0              , False ,        3,                8.0, False
Helio Castroneves          , Chelsie Hightower                       , Racing Driver           ,                    , Brazil                      ,                          37,     15, Eliminated Week 3 ,        10,   10,  0.0              , False ,        3,                3.0, False
Joey Fatone                , Kym Johnson                             , Singer/Rapper           , New York           , United States               ,                          35,     15, Eliminated Week 2 ,        12,   10,  0.0              , False ,        3,                2.0, False
Kelly Monaco               , Valentin Chmerkovskiy                   , Actor/Actress           , Pennsylvania       , United States               ,                          36,     15, 3rd Place         ,         3,   10, 29.1109           , True  ,        3,                   , False
Kirstie Alley              , Maksim Chmerkoskiy                      , Actor/Actress           , Kansas             , United States               ,                          61,     15, Eliminated Week 8 ,         7,   10,  0.0              , False ,        3,                8.0, False
Melissa Rycroft            , Tony Dovolani                           , TV Personality          , Texas              , United States               ,                          29,     15, 1st Place         ,         1,   10, 29.333099999999998, True  ,        3,                   , False
Pamela Anderson            , Tristan MacManus                        , Model                   ,                    , Canada                      ,                          45,     15, Eliminated Week 1 ,        13,   10,  0.0              , False ,        3,                1.0, False
Sabrina Bryan              , Louis van Amstel                        , Actor/Actress           , California         , United States               ,                          28,     15, Eliminated Week 6 ,         8,   10,  0.0              , False ,        3,                6.0, False
Shawn Johnson              , Derek Hough                             , Athlete                 , Iowa               , United States               ,                          20,     15, 2nd Place         ,         2,   10, 28.944300000000002, True  ,        3,                   , False
Alexandra Raisman          , Mark Ballas                             , Athlete                 , Massachusetts      , United States               ,                          18,     16, Eliminated Week 10,         4,    1, 21.0              , True  ,       12,               10.0, False
Andy Dick                  , Sharna Burgess                          , Comedian                , South Carolina     , United States               ,                          47,     16, Eliminated Week 7 ,         7,    1, 17.0              , True  ,       12,                7.0, False
D. L. Hughley              , Cheryl Burke                            , Comedian                , Virginia           , United States               ,                          50,     16, Eliminated Week 5 ,         9,    1, 12.0              , True  ,       12,                5.0, False
Dorothy Hamill             , Tristan MacManus                        , Athlete                 , Illinois           , United States               ,                          56,     16, Withdrew          ,        12,    1, 21.0              , True  ,       12,                   , False
Ingo Rademacher            , Kym Johnson                             , Actor/Actress           ,                    , Germany                     ,                          41,     16, Eliminated Week 9 ,         5,    1, 20.0              , True  ,       12,                9.0, False
Jacoby Jones               , Karina Smirnoff                         , Athlete                 , Louisiana          , United States               ,                          28,     16, 3rd Place         ,         3,    1, 20.0              , True  ,       12,                   , False
Kellie Pickler             , Derek Hough                             , Singer/Rapper           , North Carolina     , United States               ,                          26,     16, 1st Place         ,         1,    1, 21.0              , True  ,       12,                   , False
Lisa Vanderpump            , Gleb Savchenko                          , TV Personality          ,                    , England                     ,                          52,     16, Eliminated Week 4 ,        10,    1, 18.0              , True  ,       12,                4.0, False
Sean Lowe                  , Peta Murgatroyd                         , TV Personality          , Texas              , United States               ,                          29,     16, Eliminated Week 8 ,         6,    1, 19.0              , True  ,       12,                8.0, False
Victor Ortiz               , Lindsay Arnold                          , Athlete                 , Kansas             , United States               ,                          26,     16, Eliminated Week 6 ,         8,    1, 18.0              , True  ,       12,                6.0, False
Wynonna Judd               , Tony Dovolani                           , Singer/Rapper           , Kentucky           , United States               ,                          48,     16, Eliminated Week 3 ,        11,    1, 18.0              , True  ,       12,                3.0, False
Zendaya                    , Valentin Chmerkovskiy                   , Actor/Actress           , California         , United States               ,                          16,     16, 2nd Place         ,         2,    1, 24.0              , True  ,       12,                   , False
